date_utc,home,away,home_score,away_score,xg_h,xg_a,poss_h,poss_a,shots_h,shots_a,sot_h,sot_a
2026-06-30,Côte d'Ivoire,Norway,1,2,1.49,1.90,47,53,14,9,5,4
2026-06-30,France,Sweden,3,0,3.24,0.70,61,39,25,8,12,3
2026-06-30,Netherlands,Morocco,3,4,0.24,1.38,30,70,6,11,2,5
2026-07-01,Belgium,Senegal,3,2,1.74,3.58,52,48,19,19,5,5
2026-07-01,England,DR Congo,2,1,2.16,0.77,60,40,16,7,7,2
2026-07-01,Mexico,Ecuador,2,0,1.05,0.75,43,57,15,7,3,1
2026-07-02,Portugal,Croatia,2,1,2.20,1.34,60,40,15,13,3,6
2026-07-02,Spain,Austria,3,0,2.80,0.32,64,36,23,5,10,0
2026-07-02,USA,Bosnia & Herzegovina,2,0,0.88,0.25,48,52,8,10,2,3
2026-07-03,Argentina,Cabo Verde,3,2,2.26,0.47,64,36,22,16,10,5
2026-07-03,Australia,Egypt,3,5,0.84,1.32,42,58,16,14,1,3
2026-07-03,Switzerland,Algeria,2,0,2.45,0.74,45,55,11,8,5,2
2026-07-04,Canada,Morocco,0,3,0.84,0.82,45,55,10,5,3,4
2026-07-04,Colombia,Ghana,1,0,2.04,0.27,61,39,20,8,8,0
2026-07-04,Paraguay,France,0,1,0.13,1.45,24,76,5,15,1,5
